bioguide_id,crp_id,name,data_year,asset_name,holdings_low,holdings_high,industry,subsidiary_of
F000372,N00000684,"Frelinghuysen, Rodney",2016,Dreyfus Government Cash Management,850003,1750000,,
M000639,N00000699,"Menendez, Robert",2016,Residential/Rental Property Union City,250001,500000,Real Estate,
M000639,N00000699,"Menendez, Robert",2016,Senate Federal Credit Union,50001,100000,,
M000639,N00000699,"Menendez, Robert",2016,M&T Bank Checking,15001,50000,,
M000639,N00000699,"Menendez, Robert",2016,Congressional Federal Credit Union,1001,15000,,
M000639,N00000699,"Menendez, Robert",2016,Metropolitan Life Insurance,1001,15000,,
G000548,N00000743,"Garrett, Scott",2016,Dreyfuss Funds Disc Stock Funds,100001,250000,,
G000548,N00000743,"Garrett, Scott",2016,Ally Bank - Savings,50001,100000,,
G000548,N00000743,"Garrett, Scott",2016,Dreyfuss Funds S&P Funds,50001,100000,,
G000548,N00000743,"Garrett, Scott",2016,Dreyfuss Funds Appreciation Funds,15001,50000,,
G000548,N00000743,"Garrett, Scott",2016,Lake Land B Checking,15001,50000,,
P000096,N00000751,"Pascrell, Bill Jr",2016,Jackson National Life Insurance,1000001,5000000,Insurance,Prudential PLC
P000096,N00000751,"Pascrell, Bill Jr",2016,State Of New Jersey Pers,250001,500000,,
P000096,N00000751,"Pascrell, Bill Jr",2016,Shore Pirates LLC,250001,500000,,
P000096,N00000751,"Pascrell, Bill Jr",2016,Morgan Stanley,250001,500000,Securities & Investment,
P000096,N00000751,"Pascrell, Bill Jr",2016,Valic,150002,350000,,
P000034,N00000781,"Pallone, Frank Jr",2016,Rose Marie Hospodor IRA Trust,350002,750000,,
P000034,N00000781,"Pallone, Frank Jr",2016,Residential Real Estate/M Pallone Estate,250001,500000,,
P000034,N00000781,"Pallone, Frank Jr",2016,Russell Invest US Strategic Equity Fund,100001,250000,,
P000034,N00000781,"Pallone, Frank Jr",2016,AAM HIGH 50 DIVIDEND STRATEGY 2016-4Q,100001,250000,,
P000034,N00000781,"Pallone, Frank Jr",2016,Russell US Small Cap Equity Fund,50001,100000,,
L000554,N00000851,"LoBiondo, Frank",2016,Residential Real Estate-3851 Boardwalk,100001,250000,,
L000554,N00000851,"LoBiondo, Frank",2016,Residential Real Estate-2851 E Armour Lane,100001,250000,,
L000554,N00000851,"LoBiondo, Frank",2016,Residential Real Estate-3100 Elm Rock Place,100001,250000,,
L000554,N00000851,"LoBiondo, Frank",2016,Ocean City Home Bank,16003,66000,,
L000554,N00000851,"LoBiondo, Frank",2016,First Eagle Funds Income Global Fund,16002,65000,,
L000567,N00000898,"Lance, Leonard",2016,JPMC Large Cap Value Fund,100001,250000,,
L000567,N00000898,"Lance, Leonard",2016,JPMC S&P 500 Index Fund,100001,250000,,
L000567,N00000898,"Lance, Leonard",2016,JPMC Stable Value Fund,100001,250000,,
L000567,N00000898,"Lance, Leonard",2016,Prudential AsT Capital Growth Asset Alloc,100001,250000,,
L000567,N00000898,"Lance, Leonard",2016,Prudential AsT Prud Growth Alloc,100001,250000,,
N000002,N00000939,"Nadler, Jerrold",2016,HSBC Bank,1001,15000,,
N000002,N00000939,"Nadler, Jerrold",2016,JPMorgan Chase & Co,1001,15000,Commercial Banks,
N000002,N00000939,"Nadler, Jerrold",2016,Congressional Federal Credit Union,1001,15000,,
E000179,N00001003,"Engel, Eliot L",2016,Congressional Federal Credit Union,50001,100000,,
E000179,N00001003,"Engel, Eliot L",2016,Wells Fargo,15001,50000,Commercial Banks,
E000179,N00001003,"Engel, Eliot L",2016,State of New York,15001,50000,,
E000179,N00001003,"Engel, Eliot L",2016,US Bonds,1001,15000,,
E000179,N00001003,"Engel, Eliot L",2016,Israel Bonds,1001,15000,,
L000480,N00001024,"Lowey, Nita M",2016,Arbiter Partners,2000002,10000000,Securities & Investment,
L000480,N00001024,"Lowey, Nita M",2016,P Oppenheimer Investment Partnership,1100002,5250000,,
L000480,N00001024,"Lowey, Nita M",2016,Federated Kaufmann Small Cap Fund,1000001,5000000,,
L000480,N00001024,"Lowey, Nita M",2016,Brownstone Investment Opportunities,1000001,5000000,Misc Finance,
L000480,N00001024,"Lowey, Nita M",2016,Federated Kaufmann Mid Cap Fund,1000001,5000000,,
S000148,N00001093,"Schumer, Charles E",2016,TIAA TraditionalProvider: TIAA-CREF,130003,350000,,
S000148,N00001093,"Schumer, Charles E",2016,Morgan Stanley Money Market Account,115002,300000,,
S000148,N00001093,"Schumer, Charles E",2016,TIAA Account,9009,135000,,
S000148,N00001093,"Schumer, Charles E",2016,Congressional Federal Credit Union,50001,100000,,
S000148,N00001093,"Schumer, Charles E",2016,Teachers Retirement System Deferred Comp,50001,100000,,
C001038,N00001127,"Crowley, Joseph",2016,Congressional Federal Credit Union,100001,250000,,
C001038,N00001127,"Crowley, Joseph",2016,ING ReliaStar Life Insurance Co,50001,100000,,
C001038,N00001127,"Crowley, Joseph",2016,New York State & Local Retirement Plan,50001,100000,,
C001038,N00001127,"Crowley, Joseph",2016,Aggressive Age Based Growth Portfolio,15001,50000,,
C001038,N00001127,"Crowley, Joseph",2016,Aggressive Age-Based Conservative Growth,15001,50000,,
K000210,N00001193,"King, Pete",2016,Chase Bank,100001,250000,,
K000210,N00001193,"King, Pete",2016,Astoria Federal Savings,100001,250000,,
K000210,N00001193,"King, Pete",2016,Nassau County Credit Union,50001,100000,,
C001092,N00001285,,2016,Innate Immunotherapeutics,25000001,50000000,,
C001092,N00001285,,2016,ZeptoMetrix Corp,5000001,25000000,,
C001092,N00001285,,2016,Volland Electric Corp,5000001,25000000,,
C001092,N00001285,,2016,SSIL II LLC,1000001,5000000,,
C001092,N00001285,,2016,Audubon Machinery Co,1000001,5000000,,
S000480,N00001311,"Slaughter, Louise M",2016,Procter & Gamble,250001,500000,Misc Manufacturing & Distributing,
S000480,N00001311,"Slaughter, Louise M",2016,Eastman Savings & Loan Traditional IRA Money Maker,100001,250000,,
S000480,N00001311,"Slaughter, Louise M",2016,Franklin Mutual Quest Fund,100001,250000,,
S000480,N00001311,"Slaughter, Louise M",2016,Fidelity Balanced Fund,100001,250000,,
S000480,N00001311,"Slaughter, Louise M",2016,Permanent Portfolio Fund,100001,250000,,
D000482,N00001373,"Doyle, Mike",2016,1916 Monongahela Avenue,100001,250000,Real Estate,
D000482,N00001373,"Doyle, Mike",2016,Structured Capital Strategies Russell 2000 3yr - 1,15001,50000,,
D000482,N00001373,"Doyle, Mike",2016,Structured Capital Strategies S&P 500 3yr,15001,50000,,
D000482,N00001373,"Doyle, Mike",2016,Structured Capital Strategies S&P 500 5yr,15001,50000,,
D000482,N00001373,"Doyle, Mike",2016,Structured Capital Strategies Russell 2000 5yr - 1,15001,50000,,
T000461,N00001489,"Toomey, Pat",2016,Block Island Property,750003,1500000,,
T000461,N00001489,"Toomey, Pat",2016,Child #1 Bright Start College Savings Plan AGBSD 1,300003,750000,,
T000461,N00001489,"Toomey, Pat",2016,Child #2 Bright Start College Savings Plan AGBSD 1,300003,750000,,
T000461,N00001489,"Toomey, Pat",2016,N-35727 Inc,300003,750000,,
T000461,N00001489,"Toomey, Pat",2016,BPG Multifamily Partnership LP,200002,500000,,
B001227,N00001619,"Brady, Robert A",2016,Philadelphia Federal Credit Union,750002,1500000,Credit Unions,
B001227,N00001619,"Brady, Robert A",2016,Brigadoon Motel,500001,1000000,,
B001227,N00001619,"Brady, Robert A",2016,Carpenters Pension,250001,500000,,
B001227,N00001619,"Brady, Robert A",2016,"City of Philadelphia, PA",50001,100000,Civil Servants/Public Officials,
B001227,N00001619,"Brady, Robert A",2016,D&B Investment,1,1000,,
P000373,N00001633,"Pitts, Joe",2016,FERS Govt Mmkt Cap Res IRA,500001,1000000,,
P000373,N00001633,"Pitts, Joe",2016,Mass Mutal MML Am Funds,250001,500000,,
P000373,N00001633,"Pitts, Joe",2016,CREF Stock Retire,50001,100000,,
P000373,N00001633,"Pitts, Joe",2016,Truist Financial,50001,100000,,
P000373,N00001633,"Pitts, Joe",2016,TIAA Traditional Retire Annuity,15001,50000,,
N000147,N00001692,"Norton, Eleanor Holmes",2016,Powershares ETF TR II S&P 500 Fund,150002,350000,,
N000147,N00001692,"Norton, Eleanor Holmes",2016,Guggenheim S&P 500 Equal Weight ETF,115002,300000,,
N000147,N00001692,"Norton, Eleanor Holmes",2016,Retirement Growth Fund,100001,250000,,
N000147,N00001692,"Norton, Eleanor Holmes",2016,Berkshire Hathaway,100001,250000,Securities & Investment,
N000147,N00001692,"Norton, Eleanor Holmes",2016,Large Cap Growth Portfolio,100002,200000,,
F000043,N00001746,"Fattah, Chaka",2016,General Electric,100001,250000,Misc Manufacturing & Distributing,
G000386,N00001758,"Grassley, Chuck",2016,"Farm Land/Butler County, IA",700008,1700000,Crop Production & Basic Processing,
G000386,N00001758,"Grassley, Chuck",2016,SPTN 500 Index,100001,250000,,
G000386,N00001758,"Grassley, Chuck",2016,Moderate Growth Aged Based 19 & Older Money Market,100002,200000,,
G000386,N00001758,"Grassley, Chuck",2016,Lazard Emerging Markets Equity Fund,65002,150000,,
G000386,N00001758,"Grassley, Chuck",2016,Black Rock Equity Div I,50001,100000,Unknown,
S000583,N00001811,"Smith, Lamar",2016,"1211 Summit Rd/McLean, VA",500001,1000000,Real Estate,
S000583,N00001811,"Smith, Lamar",2016,"340 Rio Drive/New Braunfels, TX",250001,500000,Real Estate,
S000583,N00001811,"Smith, Lamar",2016,Banco Santander,250001,500000,,
S000583,N00001811,"Smith, Lamar",2016,Frost Bank,250001,500000,,
S000583,N00001811,"Smith, Lamar",2016,1/2 Life Use Interest in Lamar Seeligson Ranch,250001,500000,Livestock,
S000248,N00001813,"Serrano, Jose E",2016,Wright Patnam Congressional FCU,50001,100000,,
H000874,N00001821,"Hoyer, Steny H",2016,Congressional Federal Credit Union,50001,100000,,
H000874,N00001821,"Hoyer, Steny H",2016,VeriTeQ Corp,1,1000,Unknown,
H000874,N00001821,"Hoyer, Steny H",2016,Telkonet Inc,1,1000,Unknown,
M000702,N00001945,"Mikulski, Barbara A",2016,Kopernik Bank,100001,250000,,
M000702,N00001945,"Mikulski, Barbara A",2016,T Rowe Price Real Estate Fund,15001,50000,,
M000702,N00001945,"Mikulski, Barbara A",2016,Wilmington US Government Money,15001,50000,,
M000702,N00001945,"Mikulski, Barbara A",2016,Franklin Mutual Global Discovery Fund,15001,50000,,
M000702,N00001945,"Mikulski, Barbara A",2016,T Rowe Price Capital Appreciation Fund,15001,50000,,
C000141,N00001955,"Cardin, Ben",2016,Columbia Dividend Income Fund,150002,350000,,
C000141,N00001955,"Cardin, Ben",2016,Ishares Core US Aggregate Bond ETF,101002,265000,,
C000141,N00001955,"Cardin, Ben",2016,Calamos Growth & Income C Fund,100001,250000,,
C000141,N00001955,"Cardin, Ben",2016,Venture BG LLC,100001,250000,,
C000141,N00001955,"Cardin, Ben",2016,iShares Core S&P Small Cap ETF,67004,180000,,
C000984,N00001971,"Cummings, Elijah E",2016,"132 Randolph Place, NW",500001,1000000,,
C000984,N00001971,"Cummings, Elijah E",2016,"2221 St Paul St/Baltimore, MD 21218",250001,500000,,
C000984,N00001971,"Cummings, Elijah E",2016,"2014 Madison Ave, Baltimore, MD 21217",250001,500000,,
C000984,N00001971,"Cummings, Elijah E",2016,Global Policy Solutions LLC,250001,500000,,
C000984,N00001971,"Cummings, Elijah E",2016,Invesco Stable Asset Fund,1001,15000,,
B001135,N00002221,"Burr, Richard",2016,LRB Partners Real Estate,500001,1000000,,
B001135,N00002221,"Burr, Richard",2016,New Jersey Avensue SE,500001,1000000,,
B001135,N00002221,"Burr, Richard",2016,Brooke F Burr IRA,947022,947022,,
B001135,N00002221,"Burr, Richard",2016,Richard M Burr & Brooke F Burr Joint,514328,514328,,
B001135,N00002221,"Burr, Richard",2016,Wells Fargo/Checking & Savings,250001,500000,,
P000523,N00002260,"Price, David",2016,CREF Retirement Plan/CREF Stock Fund,500001,1000000,,
P000523,N00002260,"Price, David",2016,Exxon Mobil,250001,500000,Oil & Gas,
P000523,N00002260,"Price, David",2016,CREF Retirement Plan/CREF Bond Market Fund,100001,250000,,
P000523,N00002260,"Price, David",2016,CREF Retirement Plan/TIAA Real EstateFund,100001,250000,,
P000523,N00002260,"Price, David",2016,Merrill Lynch Bank Deposit Program,100001,250000,,
J000255,N00002299,"Jones, Walter B Jr",2016,BB&T Corp,250001,500000,Commercial Banks,
J000255,N00002299,"Jones, Walter B Jr",2016,Investors Title Co,100001,250000,,
J000255,N00002299,"Jones, Walter B Jr",2016,American Funds Growth Fund of America,50001,100000,,
J000255,N00002299,"Jones, Walter B Jr",2016,Nucor Corp,15001,50000,Steel Production,
J000255,N00002299,"Jones, Walter B Jr",2016,Philip Morris International,1001,15000,Unknown,
C000537,N00002408,"Clyburn, James E",2016,Investment Entrepreneurs LLC,100001,250000,Unknown,
C000537,N00002408,"Clyburn, James E",2016,Bank of America,31003,115000,Commercial Banks,
C000537,N00002408,"Clyburn, James E",2016,645-47 W Liberty St,50001,100000,Real Estate,
C000537,N00002408,"Clyburn, James E",2016,SCANA Corp,15001,50000,Electric Utilities,
C000537,N00002408,"Clyburn, James E",2016,Automatic Data Processing Inc,1001,15000,Business Services,
S000051,N00002424,,2016,Sanford Land Company,1000001,5000000,,
S000051,N00002424,,2016,Cotton Hope LLC,500001,1000000,Unknown,
S000051,N00002424,,2016,Smith Tract LLC,500001,1000000,Unknown,
S000051,N00002424,,2016,Blind John LLC,250001,500000,,
S000051,N00002424,,2016,Savings Account,250001,500000,,
L000287,N00002577,"Lewis, John",2016,Fidelity Investments IRA,1001,15000,,
L000287,N00002577,"Lewis, John",2016,Bank of America,4,4000,Commercial Banks,
I000055,N00002593,"Isakson, Johnny",2016,Isakson Blind Trust,5000001,25000000,,
I000055,N00002593,"Isakson, Johnny",2016,SunTrust Money Market Account,1000001,5000000,,
I000055,N00002593,"Isakson, Johnny",2016,Brandon Mill Road,1000001,5000000,Real Estate,
I000055,N00002593,"Isakson, Johnny",2016,Residence 5074 Hampton Farms Drive,500001,1000000,Real Estate,
I000055,N00002593,"Isakson, Johnny",2016,Thrift Savings Plan,500001,1000000,,
B000490,N00002674,"Bishop, Sanford",2016,New York Life Insurance & Annuity Corp Whole Li,50001,100000,,
B000490,N00002674,"Bishop, Sanford",2016,"House & Lot, Illges Road",50001,100000,Real Estate,
B000490,N00002674,"Bishop, Sanford",2016,Prudential Investment Portfolio Muni High Income,50001,100000,,
B000490,N00002674,"Bishop, Sanford",2016,SunTrust Bank Account,1001,15000,,
B000490,N00002674,"Bishop, Sanford",2016,Lot 24A/Lakemont Heights,1001,15000,,
R000435,N00002858,"Ros-Lehtinen, Ileana",2016,House Property,250001,500000,Real Estate,
R000435,N00002858,"Ros-Lehtinen, Ileana",2016,Community Bank of Homestead,1002,16000,,
R000435,N00002858,"Ros-Lehtinen, Ileana",2016,Capital Bank,1001,15000,,
R000435,N00002858,"Ros-Lehtinen, Ileana",2016,BB&T Corp,1001,15000,Commercial Banks,
H000324,N00002884,"Hastings, Alcee L",2016,,1001,15000,,
C001111,N00002942,,2016,Nuveen aMT-Free Municipal Credit Income Fund,250001,500000,,
C001111,N00002942,,2016,Fidelity Floating Rate High Income Fund,115002,300000,,
C001111,N00002942,,2016,Fidelity Municipal Money Market Fund,100001,250000,,
C001111,N00002942,,2016,Wells Fargo - Premier Checking,100001,250000,,
C001111,N00002942,,2016,Fidelity High Income Fund,52003,130000,,
A000055,N00003028,"Aderholt, Robert B",2016,6207 30th Street North,1000001,5000000,,
A000055,N00003028,"Aderholt, Robert B",2016,,800004,1600000,,
A000055,N00003028,"Aderholt, Robert B",2016,Commercial Building - Highway 5 South,250001,500000,,
A000055,N00003028,"Aderholt, Robert B",2016,65 Acres Land - Greenbrier Farms/McDonald Farms Pa,100001,250000,,
A000055,N00003028,"Aderholt, Robert B",2016,NY Life Securities LLC - IRA,50001,100000,,
S001141,N00003062,"Sessions, Jeff",2016,"Timberland/Choctaw County, AL",1000001,5000000,Forestry & Forest Products,
S001141,N00003062,"Sessions, Jeff",2016,"Wilcox Co, GA",500001,1000000,,
S001141,N00003062,"Sessions, Jeff",2016,Vanguard PRIMECAP Core,200002,500000,,
S001141,N00003062,"Sessions, Jeff",2016,Vanguard Prime Money Market Fund,151003,365000,,
S001141,N00003062,"Sessions, Jeff",2016,Vanguard International Growth Adm,100001,250000,,
B001243,N00003105,"Blackburn, Marsha",2016,Balanced Asset Allocation Diversified Inc,100002,200000,,
B001243,N00003105,"Blackburn, Marsha",2016,Blackrock Global Tactical Strategies Portfolio,15001,50000,,
B001243,N00003105,"Blackburn, Marsha",2016,JP Morgan Active Allocation Portfolio,15001,50000,,
B001243,N00003105,"Blackburn, Marsha",2016,New Perspective Fund,15001,50000,,
B001243,N00003105,"Blackburn, Marsha",2016,Schroeders Global Multi-Asset Portfolio,15001,50000,,
C000754,N00003132,"Cooper, Jim",2016,Cooper Brothers Land,5000001,25000000,,
C000754,N00003132,"Cooper, Jim",2016,,2002004,10030000,,
C000754,N00003132,"Cooper, Jim",2016,"Lot 6A at 658 Grassmere Office Park, Trousdale Pik",1000001,5000000,,
C000754,N00003132,"Cooper, Jim",2016,Adams Properties,500001,1000000,,
C000754,N00003132,"Cooper, Jim",2016,Wells Fargo Bank Deposit Accounts,500002,1000000,,
C001068,N00003225,"Cohen, Steve",2016,IBM Corp,300002,600000,Electronics Mfg & Equip,
C001068,N00003225,"Cohen, Steve",2016,Fidelity Contrafund Fund,265002,550000,,
C001068,N00003225,"Cohen, Steve",2016,Fidelity Puritan Fund,250001,500000,,
C001068,N00003225,"Cohen, Steve",2016,Berkshire Hathaway,165003,400000,Securities & Investment,
C001068,N00003225,"Cohen, Steve",2016,Federated Treasury Obligations AS,101002,265000,,
T000193,N00003288,"Thompson, Bennie G",2016,Congressional Federal Credit Union,100001,250000,,
T000193,N00003288,"Thompson, Bennie G",2016,BancorpSouth Bank,100001,250000,Commercial Banks,BancorpSouth
T000193,N00003288,"Thompson, Bennie G",2016,Public Employees' Retirement System of Mississippi,65002,150000,,
T000193,N00003288,"Thompson, Bennie G",2016,Jackson Federal Credit Union,15001,50000,,
T000193,N00003288,"Thompson, Bennie G",2016,Liberty National Bank,15001,50000,,
M000355,N00003389,"McConnell, Mitch",2016,Vanguard 500 Index Admiral Fund,2250003,10500000,,
M000355,N00003389,"McConnell, Mitch",2016,Vanguard Municipal Money Market Fund,1001002,5015000,,
M000355,N00003389,"McConnell, Mitch",2016,VFIAX-Vanguard 500 Index Admiral Fund,1000001,5000000,,
M000355,N00003389,"McConnell, Mitch",2016,Wells Fargo,1000001,5000000,Commercial Banks,
M000355,N00003389,"McConnell, Mitch",2016,SunTrust Advantage Money Market Account,1000001,5000000,,
K000009,N00003522,"Kaptur, Marcy",2016,US Savings Bond,50001,100000,,
K000009,N00003522,"Kaptur, Marcy",2016,Genoa Bank,15001,50000,,
K000009,N00003522,"Kaptur, Marcy",2016,Rivard Rd.,15001,50000,,
K000009,N00003522,"Kaptur, Marcy",2016,Key Bank,15001,50000,,
K000009,N00003522,"Kaptur, Marcy",2016,Fleet Rd.,15001,50000,,
B000944,N00003535,"Brown, Sherrod",2016,Huntington Bank Money Market Account,250001,500000,,
B000944,N00003535,"Brown, Sherrod",2016,Ohio Public Employees Retirment System,100001,250000,,
B000944,N00003535,"Brown, Sherrod",2016,Huntington National Bank Checking,15001,50000,,
B000944,N00003535,"Brown, Sherrod",2016,Plain Dealer Credit Union Checking,1001,15000,,
B000944,N00003535,"Brown, Sherrod",2016,Northwest Bank Checking,1001,15000,,
P000449,N00003682,"Portman, Rob",2016,iShares Russell 1000 Index,1000001,5000000,,
P000449,N00003682,"Portman, Rob",2016,Lebanon House Inc/Land & building,1000001,5000000,Real Estate,
P000449,N00003682,"Portman, Rob",2016,Vanguard OH Long Term Tax Exempt,800003,1600000,,
P000449,N00003682,"Portman, Rob",2016,Vanguard Intermediate Term Tax Exempt Fund,750002,1500000,,
P000449,N00003682,"Portman, Rob",2016,SPDR S&P 500,350003,700000,,
C000266,N00003689,"Chabot, Steve",2016,PNC Bank Account,100001,250000,,
C000266,N00003689,"Chabot, Steve",2016,Stable Value Option,50001,100000,,
C000266,N00003689,"Chabot, Steve",2016,Vanguard Institutional Index,50001,100000,,
C000266,N00003689,"Chabot, Steve",2016,Cintas Corp,50001,100000,Misc Manufacturing & Distributing,
C000266,N00003689,"Chabot, Steve",2016,Multi-Color Corp,50001,100000,Unknown,
C000542,N00003845,"Coats, Dan",2016,Belvedere Capital Fund Co,1000001,5000000,,
C000542,N00003845,"Coats, Dan",2016,Ohio National Life Insurance,1050003,2100000,,
C000542,N00003845,"Coats, Dan",2016,Ohio National Life Insurance Co,1000002,2000000,,
C000542,N00003845,"Coats, Dan",2016,PIMCO Investment Grade Corp Bd,350002,750000,,
C000542,N00003845,"Coats, Dan",2016,Vident Core US Bond Strategy ETF,350002,750000,,
L000263,N00003950,"Levin, Sander",2016,"House, Lot 4, West Tisbury, MA",1325400,1325400,Real Estate,
L000263,N00003950,"Levin, Sander",2016,CREF Global Equities Fund,310809,310809,,
L000263,N00003950,"Levin, Sander",2016,TIAA Traditional Fund,303352,303352,,
L000263,N00003950,"Levin, Sander",2016,CREF Social Choice Fund,210859,210859,,
L000263,N00003950,"Levin, Sander",2016,Levinson-Levin Properties,204960,204960,,
S000770,N00004118,"Stabenow, Debbie",2016,Lake Trust Credit Union Checking,15001,50000,,
U000031,N00004133,"Upton, Fred",2016,,11907155,44130000,,
U000031,N00004133,"Upton, Fred",2016,Whirlpool Corp,1000001,5000000,Misc Manufacturing & Distributing,
U000031,N00004133,"Upton, Fred",2016,PepsiCo Inc,500001,1000000,Food & Beverage,
U000031,N00004133,"Upton, Fred",2016,Stryker Corp,250001,500000,Pharmaceuticals/Health Products,
U000031,N00004133,"Upton, Fred",2016,Massachusetts Mutual Life Insurance,250001,500000,Insurance,
R000570,N00004357,"Ryan, Paul",2016,Prudence Little Living Trust,1000001,5000000,Misc Finance,
R000570,N00004357,"Ryan, Paul",2016,Ryan Hutter Investment Partnership,500001,1000000,Misc Finance,
R000570,N00004357,"Ryan, Paul",2016,TIAA-CREF Tuition Financing Edvest 529 College,200002,500000,,
R000570,N00004357,"Ryan, Paul",2016,Ava O Ltd,100001,250000,Mining,
R000570,N00004357,"Ryan, Paul",2016,Red River Pine Ltd Co,100001,250000,Forestry & Forest Products,
B001230,N00004367,"Baldwin, Tammy",2016,Qualified Blind Trust (Senate approved QBT),500001,1000000,,
