bill_id,type,number,term,origin,date_introduced,sponsor_id,policy_area
HJRES23-113,HJRES,23,113,House,2013-01-25,D000614,Congress
HJRES24-113,HJRES,24,113,House,2013-02-06,A000367,Economics and Public Finance
HJRES25-113,HJRES,25,113,House,2013-02-06,E000290,Government Operations and Politics
HJRES26-113,HJRES,26,113,House,2013-02-12,B001282,Congress
HJRES27-113,HJRES,27,113,House,2013-02-13,B001280,Taxation
HJRES28-113,HJRES,28,113,House,2013-02-13,P000601,Taxation
HJRES29-113,HJRES,29,113,House,2013-02-14,N000127,"Civil Rights and Liberties, Minority Issues"
HJRES3-113,HJRES,3,113,House,2013-01-03,J000032,"Arts, Culture, Religion"
HJRES30-113,HJRES,30,113,House,2013-02-14,P000591,Congress
HJRES31-113,HJRES,31,113,House,2013-02-14,S001150,Government Operations and Politics
HJRES32-113,HJRES,32,113,House,2013-02-26,S001180,Government Operations and Politics
HJRES33-113,HJRES,33,113,House,2013-03-06,B001252,Congress
HJRES34-113,HJRES,34,113,House,2013-03-12,D000610,Government Operations and Politics
HJRES35-113,HJRES,35,113,House,2013-03-14,B001262,Economics and Public Finance
HJRES36-113,HJRES,36,113,House,2013-03-14,P000605,Economics and Public Finance
HJRES37-113,HJRES,37,113,House,2013-03-18,R000587,Congress
HJRES38-113,HJRES,38,113,House,2013-04-12,W000813,Economics and Public Finance
HJRES39-113,HJRES,39,113,House,2013-04-15,N000182,Taxation
HJRES4-113,HJRES,4,113,House,2013-01-03,B001252,Economics and Public Finance
HJRES40-113,HJRES,40,113,House,2013-04-23,F000448,Crime and Law Enforcement
HJRES41-113,HJRES,41,113,House,2013-04-23,S000018,Congress
HJRES42-113,HJRES,42,113,House,2013-04-26,R000011,"Arts, Culture, Religion"
HJRES43-113,HJRES,43,113,House,2013-05-09,A000210,"Civil Rights and Liberties, Minority Issues"
HJRES44-113,HJRES,44,113,House,2013-05-14,P000607,"Civil Rights and Liberties, Minority Issues"
HJRES45-113,HJRES,45,113,House,2013-05-14,B001283,Congress
HJRES46-113,HJRES,46,113,House,2013-05-17,C001038,Foreign Trade and International Finance
HJRES47-113,HJRES,47,113,House,2013-05-22,B000013,Government Operations and Politics
HJRES48-113,HJRES,48,113,House,2013-05-22,M001179,Congress
HJRES49-113,HJRES,49,113,House,2013-06-14,S001195,Economics and Public Finance
HJRES5-113,HJRES,5,113,House,2013-01-03,B001260,Economics and Public Finance
HJRES50-113,HJRES,50,113,House,2013-06-18,M001187,Families
HJRES51-113,HJRES,51,113,House,2013-06-28,H001057,Families
HJRES52-113,HJRES,52,113,House,2013-07-24,C001048,Law
HJRES53-113,HJRES,53,113,House,2013-07-24,C001048,Law
HJRES54-113,HJRES,54,113,House,2013-07-24,C001048,Law
HJRES55-113,HJRES,55,113,House,2013-08-01,D000621,Congress
HJRES56-113,HJRES,56,113,House,2013-08-01,M000087,"Civil Rights and Liberties, Minority Issues"
HJRES57-113,HJRES,57,113,House,2013-08-01,N000182,Congress
HJRES58-113,HJRES,58,113,House,2013-09-09,P000592,International Affairs
HJRES59-113,HJRES,59,113,House,2013-09-10,R000395,Economics and Public Finance
HJRES6-113,HJRES,6,113,House,2013-01-03,B001260,Economics and Public Finance
HJRES60-113,HJRES,60,113,House,2013-09-11,D000191,International Affairs
HJRES61-113,HJRES,61,113,House,2013-09-11,P000096,International Affairs
HJRES62-113,HJRES,62,113,House,2013-09-12,G000560,Economics and Public Finance
HJRES63-113,HJRES,63,113,House,2013-09-16,M001157,Congress
HJRES64-113,HJRES,64,113,House,2013-09-25,M001180,Environmental Protection
HJRES65-113,HJRES,65,113,House,2013-09-25,C001087,Economics and Public Finance
HJRES66-113,HJRES,66,113,House,2013-09-27,R000585,Economics and Public Finance
HJRES67-113,HJRES,67,113,House,2013-09-30,C001087,Economics and Public Finance
HJRES68-113,HJRES,68,113,House,2013-09-30,L000557,Families
HJRES69-113,HJRES,69,113,House,2013-09-30,R000585,Economics and Public Finance
HJRES7-113,HJRES,7,113,House,2013-01-03,C000380,"Civil Rights and Liberties, Minority Issues"
HJRES70-113,HJRES,70,113,House,2013-10-01,S001148,Economics and Public Finance
HJRES71-113,HJRES,71,113,House,2013-10-01,C001045,Economics and Public Finance
HJRES72-113,HJRES,72,113,House,2013-10-01,C001048,Armed Forces and National Security
HJRES73-113,HJRES,73,113,House,2013-10-02,K000220,Health
HJRES74-113,HJRES,74,113,House,2013-10-02,C001095,Agriculture and Food
HJRES75-113,HJRES,75,113,House,2013-10-03,A000055,Agriculture and Food
HJRES76-113,HJRES,76,113,House,2013-10-03,F000372,Armed Forces and National Security
HJRES77-113,HJRES,77,113,House,2013-10-03,A000055,Health
HJRES78-113,HJRES,78,113,House,2013-10-03,Y000031,Armed Forces and National Security
HJRES79-113,HJRES,79,113,House,2013-10-03,C001051,Economics and Public Finance
HJRES8-113,HJRES,8,113,House,2013-01-03,F000451,Congress
HJRES80-113,HJRES,80,113,House,2013-10-03,S001148,Native Americans
HJRES81-113,HJRES,81,113,House,2013-10-03,W000795,Energy
HJRES82-113,HJRES,82,113,House,2013-10-03,R000395,"Science, Technology, Communications"
HJRES83-113,HJRES,83,113,House,2013-10-03,R000395,Education
HJRES84-113,HJRES,84,113,House,2013-10-03,R000395,Education
HJRES85-113,HJRES,85,113,House,2013-10-03,C001051,Emergency Management
HJRES86-113,HJRES,86,113,House,2013-10-03,T000459,Commerce
HJRES87-113,HJRES,87,113,House,2013-10-03,T000459,Transportation and Public Works
HJRES88-113,HJRES,88,113,House,2013-10-04,T000459,Armed Forces and National Security
HJRES89-113,HJRES,89,113,House,2013-10-08,R000395,Government Operations and Politics
HJRES9-113,HJRES,9,113,House,2013-01-03,M001177,Economics and Public Finance
HJRES90-113,HJRES,90,113,House,2013-10-08,R000395,Transportation and Public Works
HJRES91-113,HJRES,91,113,House,2013-10-08,F000372,Armed Forces and National Security
HJRES92-113,HJRES,92,113,House,2013-10-09,K000220,Health
HJRES93-113,HJRES,93,113,House,2013-10-10,C001047,Labor and Employment
HJRES94-113,HJRES,94,113,House,2013-10-15,B001274,"Science, Technology, Communications"
HJRES95-113,HJRES,95,113,House,2013-10-15,K000378,Energy
HJRES96-113,HJRES,96,113,House,2013-10-15,M001180,Energy
HJRES97-113,HJRES,97,113,House,2013-10-22,J000290,Law
HJRES98-113,HJRES,98,113,House,2013-10-23,D000615,Law
HJRES99-113,HJRES,99,113,House,2013-10-28,Y000064,Economics and Public Finance
HR1-113,HR,1,113,House,2014-12-10,C000071,Taxation
HR10-113,HR,10,113,House,2014-04-01,K000363,Education
HR100-113,HR,100,113,House,2013-01-03,C000714,Finance and Financial Sector
HR1000-113,HR,1000,113,House,2013-03-06,C000714,Labor and Employment
HR1001-113,HR,1001,113,House,2013-03-06,B001244,Labor and Employment
HR1002-113,HR,1002,113,House,2013-03-06,C001068,Finance and Financial Sector
HR1003-113,HR,1003,113,House,2013-03-06,C001062,Finance and Financial Sector
HR1004-113,HR,1004,113,House,2013-03-06,G000559,Public Lands and Natural Resources
HR1005-113,HR,1005,113,House,2013-03-06,G000560,Health
HR1006-113,HR,1006,113,House,2013-03-06,G000568,Government Operations and Politics
HR1007-113,HR,1007,113,House,2013-03-06,G000569,Education
HR1008-113,HR,1008,113,House,2013-03-06,H000874,Social Welfare
HR1009-113,HR,1009,113,House,2013-03-06,K000210,Taxation
HR101-113,HR,101,113,House,2013-01-03,C000714,Housing and Community Development
HR1010-113,HR,1010,113,House,2013-03-06,M000725,Labor and Employment
HR1011-113,HR,1011,113,House,2013-03-06,L000554,Public Lands and Natural Resources
HR1012-113,HR,1012,113,House,2013-03-06,M000133,Agriculture and Food
HR1013-113,HR,1013,113,House,2013-03-06,M001189,Economics and Public Finance
HR1014-113,HR,1014,113,House,2013-03-06,P000601,Economics and Public Finance
HR1015-113,HR,1015,113,House,2013-03-06,P000096,Health
HR1016-113,HR,1016,113,House,2013-03-06,P000608,Government Operations and Politics
HR1017-113,HR,1017,113,House,2013-03-06,P000592,Public Lands and Natural Resources
HR1018-113,HR,1018,113,House,2013-03-06,S001177,Government Operations and Politics
HR1019-113,HR,1019,113,House,2013-03-06,S001145,Health
HR102-113,HR,102,113,House,2013-01-03,C000714,Families
HR1020-113,HR,1020,113,House,2013-03-06,S001179,Foreign Trade and International Finance
HR1021-113,HR,1021,113,House,2013-03-06,S001187,Public Lands and Natural Resources
HR1022-113,HR,1022,113,House,2013-03-06,S001193,Energy
HR1023-113,HR,1023,113,House,2013-03-06,P000197,Private Legislation
HR1024-113,HR,1024,113,House,2013-03-07,M001159,Health
HR1025-113,HR,1025,113,House,2013-03-07,T000460,Public Lands and Natural Resources
HR1026-113,HR,1026,113,House,2013-03-07,N000182,Transportation and Public Works
HR1027-113,HR,1027,113,House,2013-03-07,P000595,Energy
HR1028-113,HR,1028,113,House,2013-03-07,C001037,Housing and Community Development
HR1029-113,HR,1029,113,House,2013-03-07,D000191,Taxation
HR103-113,HR,103,113,House,2013-01-03,F000043,Economics and Public Finance
HR1030-113,HR,1030,113,House,2013-03-07,D000191,Economics and Public Finance
HR1031-113,HR,1031,113,House,2013-03-07,D000191,Social Welfare
HR1032-113,HR,1032,113,House,2013-03-07,G000562,Taxation
HR1033-113,HR,1033,113,House,2013-03-07,H001032,Public Lands and Natural Resources
HR1034-113,HR,1034,113,House,2013-03-07,L000560,Public Lands and Natural Resources
HR1035-113,HR,1035,113,House,2013-03-07,M001160,Emergency Management
HR1036-113,HR,1036,113,House,2013-03-07,R000578,Government Operations and Politics
HR1037-113,HR,1037,113,House,2013-03-07,T000469,Health
HR1038-113,HR,1038,113,House,2013-03-11,L000578,Finance and Financial Sector
HR1039-113,HR,1039,113,House,2013-03-11,F000451,International Affairs
HR104-113,HR,104,113,House,2013-01-03,G000548,International Affairs
HR1040-113,HR,1040,113,House,2013-03-11,B001248,Taxation
HR1041-113,HR,1041,113,House,2013-03-11,M000309,Education
HR1042-113,HR,1042,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1043-113,HR,1043,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1044-113,HR,1044,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1045-113,HR,1045,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1046-113,HR,1046,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1047-113,HR,1047,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1048-113,HR,1048,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1049-113,HR,1049,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR105-113,HR,105,113,House,2013-01-03,G000548,Taxation
HR1050-113,HR,1050,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1051-113,HR,1051,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1052-113,HR,1052,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1053-113,HR,1053,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1054-113,HR,1054,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1055-113,HR,1055,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1056-113,HR,1056,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1057-113,HR,1057,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1058-113,HR,1058,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1059-113,HR,1059,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR106-113,HR,106,113,House,2013-01-03,G000550,Congress
HR1060-113,HR,1060,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1061-113,HR,1061,113,House,2013-03-11,W000207,Foreign Trade and International Finance
HR1062-113,HR,1062,113,House,2013-03-12,G000548,Finance and Financial Sector
HR1063-113,HR,1063,113,House,2013-03-12,L000564,Public Lands and Natural Resources
HR1064-113,HR,1064,113,House,2013-03-12,N000182,Finance and Financial Sector
HR1065-113,HR,1065,113,House,2013-03-12,G000548,Taxation
HR1066-113,HR,1066,113,House,2013-03-12,R000011,Native Americans
HR1067-113,HR,1067,113,House,2013-03-12,G000289,Government Operations and Politics
HR1068-113,HR,1068,113,House,2013-03-12,G000289,Public Lands and Natural Resources
HR1069-113,HR,1069,113,House,2013-03-12,B001255,Social Welfare
HR107-113,HR,107,113,House,2013-01-03,G000550,Government Operations and Politics
HR1070-113,HR,1070,113,House,2013-03-12,D000604,Health
HR1071-113,HR,1071,113,House,2013-03-12,H001051,Finance and Financial Sector
HR1072-113,HR,1072,113,House,2013-03-12,D000533,Government Operations and Politics
HR1073-113,HR,1073,113,House,2013-03-12,S000244,Crime and Law Enforcement
HR1074-113,HR,1074,113,House,2013-03-12,O000168,Health
HR1075-113,HR,1075,113,House,2013-03-12,M001180,Armed Forces and National Security
HR1076-113,HR,1076,113,House,2013-03-12,H000067,Health
HR1077-113,HR,1077,113,House,2013-03-12,H001058,Housing and Community Development
HR1078-113,HR,1078,113,House,2013-03-12,P000592,Government Operations and Politics
HR1079-113,HR,1079,113,House,2013-03-12,S001175,Armed Forces and National Security
HR108-113,HR,108,113,House,2013-01-03,G000550,Congress
HR1080-113,HR,1080,113,House,2013-03-12,B001245,Armed Forces and National Security
HR1081-113,HR,1081,113,House,2013-03-12,B001260,Armed Forces and National Security
HR1082-113,HR,1082,113,House,2013-03-12,B001275,Government Operations and Politics
HR1083-113,HR,1083,113,House,2013-03-12,B001248,Transportation and Public Works
HR1084-113,HR,1084,113,House,2013-03-12,C001072,Congress
HR1085-113,HR,1085,113,House,2013-03-12,C000380,Foreign Trade and International Finance
HR1086-113,HR,1086,113,House,2013-03-12,C001084,Taxation
HR1087-113,HR,1087,113,House,2013-03-12,E000288,Immigration
HR1088-113,HR,1088,113,House,2013-03-12,H001056,Transportation and Public Works
HR1089-113,HR,1089,113,House,2013-03-12,H001034,Education
HR109-113,HR,109,113,House,2013-01-03,G000550,Congress
HR1090-113,HR,1090,113,House,2013-03-12,H001034,Education
HR1091-113,HR,1091,113,House,2013-03-12,J000289,"Civil Rights and Liberties, Minority Issues"
HR1092-113,HR,1092,113,House,2013-03-12,K000382,Transportation and Public Works
HR1093-113,HR,1093,113,House,2013-03-12,M000133,Transportation and Public Works
HR1094-113,HR,1094,113,House,2013-03-12,M001181,Agriculture and Food
HR1095-113,HR,1095,113,House,2013-03-12,M001144,Transportation and Public Works
HR1096-113,HR,1096,113,House,2013-03-12,M001160,Families
HR1097-113,HR,1097,113,House,2013-03-12,M001190,Transportation and Public Works
HR1098-113,HR,1098,113,House,2013-03-12,P000096,Health
HR1099-113,HR,1099,113,House,2013-03-12,P000373,Health
HR11-113,HR,11,113,House,2013-01-22,M001160,Crime and Law Enforcement
HR110-113,HR,110,113,House,2013-01-03,H001050,Armed Forces and National Security
HR1100-113,HR,1100,113,House,2013-03-12,S001145,Health
HR1101-113,HR,1101,113,House,2013-03-12,S001165,Emergency Management
HR1102-113,HR,1102,113,House,2013-03-12,W000800,Health
HR1103-113,HR,1103,113,House,2013-03-12,Y000033,Native Americans
HR1104-113,HR,1104,113,House,2013-03-13,C001049,Government Operations and Politics
HR1105-113,HR,1105,113,House,2013-03-13,H001060,Finance and Financial Sector
HR1106-113,HR,1106,113,House,2013-03-13,C000266,Commerce
HR1107-113,HR,1107,113,House,2013-03-13,M001166,Energy
HR1108-113,HR,1108,113,House,2013-03-13,C001063,Government Operations and Politics
HR1109-113,HR,1109,113,House,2013-03-13,G000556,Armed Forces and National Security
HR111-113,HR,111,113,House,2013-01-03,H001050,Armed Forces and National Security
HR1110-113,HR,1110,113,House,2013-03-13,P000596,Emergency Management
HR1111-113,HR,1111,113,House,2013-03-13,G000556,Taxation
HR1112-113,HR,1112,113,House,2013-03-13,G000556,Finance and Financial Sector
HR1113-113,HR,1113,113,House,2013-03-13,G000556,Government Operations and Politics
HR1114-113,HR,1114,113,House,2013-03-13,G000556,Government Operations and Politics
HR1115-113,HR,1115,113,House,2013-03-13,G000556,Finance and Financial Sector
HR1116-113,HR,1116,113,House,2013-03-13,G000556,Finance and Financial Sector
HR1117-113,HR,1117,113,House,2013-03-13,G000556,Government Operations and Politics
HR1118-113,HR,1118,113,House,2013-03-13,G000556,Government Operations and Politics
HR1119-113,HR,1119,113,House,2013-03-13,G000556,Finance and Financial Sector
HR112-113,HR,112,113,House,2013-01-03,H001032,Education
HR1120-113,HR,1120,113,House,2013-03-13,R000582,Labor and Employment
HR1121-113,HR,1121,113,House,2013-03-13,C000714,"Science, Technology, Communications"
HR1122-113,HR,1122,113,House,2013-03-13,N000182,Education
HR1123-113,HR,1123,113,House,2013-03-13,G000289,"Science, Technology, Communications"
HR1124-113,HR,1124,113,House,2013-03-13,W000187,Transportation and Public Works
HR1125-113,HR,1125,113,House,2013-03-13,S001180,Taxation
HR1126-113,HR,1126,113,House,2013-03-13,B001250,Government Operations and Politics
HR1127-113,HR,1127,113,House,2013-03-13,B001259,Commerce
HR1128-113,HR,1128,113,House,2013-03-13,B001274,Armed Forces and National Security
HR1129-113,HR,1129,113,House,2013-03-13,C000556,Taxation
HR113-113,HR,113,113,House,2013-01-03,H001032,Labor and Employment
HR1130-113,HR,1130,113,House,2013-03-13,D000598,International Affairs
HR1131-113,HR,1131,113,House,2013-03-13,D000612,Armed Forces and National Security
HR1132-113,HR,1132,113,House,2013-03-13,D000612,Armed Forces and National Security
HR1133-113,HR,1133,113,House,2013-03-13,D000533,Government Operations and Politics
HR1134-113,HR,1134,113,House,2013-03-13,G000572,Armed Forces and National Security
HR1135-113,HR,1135,113,House,2013-03-13,H001058,Finance and Financial Sector
HR1136-113,HR,1136,113,House,2013-03-13,J000126,Crime and Law Enforcement
HR1137-113,HR,1137,113,House,2013-03-13,K000188,Animals
HR1138-113,HR,1138,113,House,2013-03-13,M001163,Commerce
HR1139-113,HR,1139,113,House,2013-03-13,O000169,Immigration
HR114-113,HR,114,113,House,2013-01-03,H001032,Labor and Employment
HR1140-113,HR,1140,113,House,2013-03-13,O000169,Taxation
HR1141-113,HR,1141,113,House,2013-03-13,S001168,Government Operations and Politics
HR1142-113,HR,1142,113,House,2013-03-13,S001148,Public Lands and Natural Resources
HR1143-113,HR,1143,113,House,2013-03-13,S000937,Crime and Law Enforcement
HR1144-113,HR,1144,113,House,2013-03-13,S000937,Native Americans
HR1145-113,HR,1145,113,House,2013-03-13,W000187,Housing and Community Development
HR1146-113,HR,1146,113,House,2013-03-13,W000413,Health
HR1147-113,HR,1147,113,House,2013-03-13,Y000033,Transportation and Public Works
HR1148-113,HR,1148,113,House,2013-03-14,R000578,Health
HR1149-113,HR,1149,113,House,2013-03-14,W000413,Transportation and Public Works
HR115-113,HR,115,113,House,2013-01-03,H001032,Education
HR1150-113,HR,1150,113,House,2013-03-14,S000480,Health
HR1151-113,HR,1151,113,House,2013-03-14,R000487,International Affairs
HR1152-113,HR,1152,113,House,2013-03-14,E000292,Water Resources Development
HR1153-113,HR,1153,113,House,2013-03-14,B001286,Water Resources Development
HR1154-113,HR,1154,113,House,2013-03-14,P000598,Environmental Protection
HR1155-113,HR,1155,113,House,2013-03-14,N000182,Finance and Financial Sector
HR1156-113,HR,1156,113,House,2013-03-14,H000329,Public Lands and Natural Resources
HR1157-113,HR,1157,113,House,2013-03-14,H000329,Public Lands and Natural Resources
HR1158-113,HR,1158,113,House,2013-03-14,H000329,Public Lands and Natural Resources
HR1159-113,HR,1159,113,House,2013-03-14,H000329,Public Lands and Natural Resources
HR116-113,HR,116,113,House,2013-01-03,H001032,Health
HR1160-113,HR,1160,113,House,2013-03-14,L000571,Social Welfare
HR1161-113,HR,1161,113,House,2013-03-14,R000588,Transportation and Public Works
HR1162-113,HR,1162,113,House,2013-03-14,I000056,Government Operations and Politics
HR1163-113,HR,1163,113,House,2013-03-14,I000056,Government Operations and Politics
HR1164-113,HR,1164,113,House,2013-03-14,L000575,Economics and Public Finance
HR1165-113,HR,1165,113,House,2013-03-14,C000059,Public Lands and Natural Resources
HR1166-113,HR,1166,113,House,2013-03-14,P000588,Government Operations and Politics
HR1167-113,HR,1167,113,House,2013-03-14,A000369,Public Lands and Natural Resources
HR1168-113,HR,1168,113,House,2013-03-14,A000369,Public Lands and Natural Resources
HR1169-113,HR,1169,113,House,2013-03-14,A000369,Public Lands and Natural Resources
HR117-113,HR,117,113,House,2013-01-03,H001032,Crime and Law Enforcement
HR1170-113,HR,1170,113,House,2013-03-14,A000369,Public Lands and Natural Resources
HR1171-113,HR,1171,113,House,2013-03-14,B001271,Government Operations and Politics
HR1172-113,HR,1172,113,House,2013-03-14,B001257,Taxation
HR1173-113,HR,1173,113,House,2013-03-14,B000574,Health
HR1174-113,HR,1174,113,House,2013-03-14,B000755,Economics and Public Finance
HR1175-113,HR,1175,113,House,2013-03-14,C001090,Environmental Protection
HR1176-113,HR,1176,113,House,2013-03-14,B000755,Finance and Financial Sector
HR1177-113,HR,1177,113,House,2013-03-14,C001036,Crime and Law Enforcement
HR1178-113,HR,1178,113,House,2013-03-14,C001066,Health
HR1179-113,HR,1179,113,House,2013-03-14,C001069,Health
HR118-113,HR,118,113,House,2013-01-03,H001032,Taxation
HR1180-113,HR,1180,113,House,2013-03-14,C001038,Health
HR1181-113,HR,1181,113,House,2013-03-14,D000621,Economics and Public Finance
HR1182-113,HR,1182,113,House,2013-03-14,D000616,Agriculture and Food
HR1183-113,HR,1183,113,House,2013-03-14,G000551,Public Lands and Natural Resources
HR1184-113,HR,1184,113,House,2013-03-14,H001052,Finance and Financial Sector
HR1185-113,HR,1185,113,House,2013-03-14,H001059,Environmental Protection
HR1186-113,HR,1186,113,House,2013-03-14,H001048,Congress
HR1187-113,HR,1187,113,House,2013-03-14,M000087,Public Lands and Natural Resources
HR1188-113,HR,1188,113,House,2013-03-14,M001179,Health
HR1189-113,HR,1189,113,House,2013-03-14,M000133,Energy
HR119-113,HR,119,113,House,2013-01-03,H001032,Taxation
HR1190-113,HR,1190,113,House,2013-03-14,M000133,Energy
HR1191-113,HR,1191,113,House,2013-03-14,M000133,Energy
HR1192-113,HR,1192,113,House,2013-03-14,M001177,Public Lands and Natural Resources
HR1193-113,HR,1193,113,House,2013-03-14,M001181,Housing and Community Development
HR1194-113,HR,1194,113,House,2013-03-14,M001150,Emergency Management
HR1195-113,HR,1195,113,House,2013-03-14,M000933,International Affairs
HR1196-113,HR,1196,113,House,2013-03-14,N000147,Government Operations and Politics
HR1197-113,HR,1197,113,House,2013-03-14,R000593,Taxation
HR1198-113,HR,1198,113,House,2013-03-14,S001177,Crime and Law Enforcement
HR1199-113,HR,1199,113,House,2013-03-14,S001156,Education
HR12-113,HR,12,113,House,2013-01-23,L000287,Government Operations and Politics
HR120-113,HR,120,113,House,2013-01-03,H001032,Taxation
HR1200-113,HR,1200,113,House,2013-03-14,M000404,Health
HR1201-113,HR,1201,113,House,2013-03-14,S001179,Health
HR1202-113,HR,1202,113,House,2013-03-14,S001189,Economics and Public Finance
HR1203-113,HR,1203,113,House,2013-03-14,S000244,Law
HR1204-113,HR,1204,113,House,2013-03-14,T000193,Transportation and Public Works
HR1205-113,HR,1205,113,House,2013-03-14,W000791,Health
HR1206-113,HR,1206,113,House,2013-03-14,W000804,Animals
HR1207-113,HR,1207,113,House,2013-03-14,W000215,Private Legislation
HR1208-113,HR,1208,113,House,2013-03-15,H000329,Public Lands and Natural Resources
HR1209-113,HR,1209,113,House,2013-03-15,O000168,Armed Forces and National Security
HR121-113,HR,121,113,House,2013-01-03,H001032,Taxation
HR1210-113,HR,1210,113,House,2013-03-15,S001175,Emergency Management
HR1211-113,HR,1211,113,House,2013-03-15,I000056,Government Operations and Politics
HR1212-113,HR,1212,113,House,2013-03-15,P000265,Taxation
HR1213-113,HR,1213,113,House,2013-03-15,E000288,Taxation
HR1214-113,HR,1214,113,House,2013-03-15,S000364,Environmental Protection
HR1215-113,HR,1215,113,House,2013-03-15,D000191,Public Lands and Natural Resources
HR1216-113,HR,1216,113,House,2013-03-15,G000565,Armed Forces and National Security
HR1217-113,HR,1217,113,House,2013-03-15,B000287,"Arts, Culture, Religion"
