bioguide_id,crp_id,first_name,last_name,date_of_birth,gender,party,state,seniority,leadership_role,url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,votes_against_party_pct
C001098,N00033085,Ted,Cruz,1970-12-22,M,R,TX,5,,https://www.cruz.senate.gov,599,32,5.34,0,95.91,4.09
D000618,N00033054,Steve,Daines,1962-08-20,M,R,MT,3,,https://www.daines.senate.gov,599,2,0.33,0,95.61,4.39
D000607,N00026586,Joe,Donnelly,1955-09-28,M,D,IN,5,,https://www.donnelly.senate.gov,599,8,1.34,0,79.42,20.58
D000622,N00027860,Tammy,Duckworth,1968-03-12,F,D,IL,1,,https://www.duckworth.senate.gov,599,77,12.85,1,93.82,6.18
D000563,N00004981,Richard,Durbin,1944-11-21,M,D,IL,21,Minority Whip,https://www.durbin.senate.gov,599,15,2.5,1,94.43,5.57
E000285,N00006249,Michael,Enzi,1944-02-01,M,R,WY,21,,https://www.enzi.senate.gov,599,1,0.17,0,96.12,3.88
E000295,N00035483,Joni,Ernst,1970-07-01,F,R,IA,3,,https://www.ernst.senate.gov/public,599,1,0.17,0,97.64,2.36
F000062,N00007364,Dianne,Feinstein,1933-06-22,F,D,CA,25,,https://www.feinstein.senate.gov,599,37,6.18,1,93.13,6.87
F000463,N00033443,Deb,Fischer,1951-03-01,F,R,NE,5,,https://www.fischer.senate.gov,599,4,0.67,0,98.31,1.69
F000444,N00009573,Jeff,Flake,1962-12-31,M,R,AZ,5,,https://www.flake.senate.gov/public,599,48,8.01,1,91.94,8.06
F000457,N00029016,Al,Franken,1951-05-21,M,D,MN,9,,https://www.franken.senate.gov/,325,13,4.0,1,98.71,1.29
G000562,N00030780,Cory,Gardner,1974-08-22,M,R,CO,3,,https://www.gardner.senate.gov,599,2,0.33,0,97.8,2.2
G000555,N00027658,Kirsten,Gillibrand,1966-12-09,F,D,NY,9,,https://www.gillibrand.senate.gov,599,2,0.33,1,81.29,18.71
G000359,N00009975,Lindsey,Graham,1955-07-09,M,R,SC,15,,https://www.lgraham.senate.gov/public,599,36,6.01,0,96.95,3.05
G000386,N00001758,Charles,Grassley,1933-09-17,M,R,IA,37,,https://www.grassley.senate.gov,599,0,0.0,0,96.8,3.2
H001075,N00036915,Kamala,Harris,1964-10-20,F,D,CA,1,,https://www.harris.senate.gov,599,2,0.33,1,85.71,14.29
H001076,N00038397,Margaret,Hassan,1958-02-27,F,D,NH,1,,https://www.hassan.senate.gov,599,3,0.5,1,94.56,5.44
H000338,N00009869,Orrin,Hatch,1934-03-22,M,R,UT,41,,https://www.hatch.senate.gov,599,3,0.5,0,97.97,2.03
H001046,N00029835,Martin,Heinrich,1971-10-17,M,D,NM,5,,https://www.heinrich.senate.gov,599,26,4.34,1,94.86,5.14
H001069,N00033782,Heidi,Heitkamp,1955-10-30,F,D,ND,5,,https://www.heitkamp.senate.gov/public,599,17,2.84,0,78.19,21.82
H001041,N00027522,Dean,Heller,1960-05-10,M,R,NV,7,,https://www.heller.senate.gov/public,599,29,4.84,0,94.34,5.66
H001042,N00028139,Mazie,Hirono,1947-11-03,F,D,HI,5,,https://www.hirono.senate.gov,599,12,2.0,1,90.66,9.34
H001061,N00031688,John,Hoeven,1957-03-13,M,R,ND,7,,https://www.hoeven.senate.gov,599,7,1.17,0,99.15,0.85
H001079,N00043298,Cindy,Hyde-Smith,1959-05-10,F,R,MS,1,,https://www.hydesmith.senate.gov,211,6,2.84,0,97.03,2.97
I000024,N00005582,James,Inhofe,1934-11-17,M,R,OK,25,,https://www.inhofe.senate.gov,599,15,2.5,0,98.45,1.55
I000055,N00002593,Johnny,Isakson,1944-12-28,M,R,GA,13,,https://www.isakson.senate.gov,599,65,10.85,0,98.3,1.7
J000293,N00032546,Ron,Johnson,1955-04-08,M,R,WI,7,,https://www.ronjohnson.senate.gov,599,5,0.83,0,96.6,3.4
J000300,N00024817,Doug,Jones,1954-05-04,M,D,AL,1,,https://www.jones.senate.gov,274,5,1.82,0,81.37,18.63
K000384,N00033177,Tim,Kaine,1958-02-26,M,D,VA,5,,https://www.kaine.senate.gov,599,3,0.5,1,94.21,5.79
K000393,N00026823,John,Kennedy,1951-11-21,M,R,LA,1,,https://www.kennedy.senate.gov/public,599,2,0.33,0,95.27,4.73
K000383,N00034580,Angus,King,1944-03-31,M,ID,ME,5,,https://www.king.senate.gov,599,0,0.0,0,87.12,12.88
K000367,N00027500,Amy,Klobuchar,1960-05-25,F,D,MN,11,,https://www.klobuchar.senate.gov,599,3,0.5,1,97.1,2.9
K000352,N00006406,Jon,Kyl,1942-04-25,M,R,AZ,1,,,72,1,1.39,0,95.77,4.23
L000575,N00031129,James,Lankford,1968-03-04,M,R,OK,3,,https://www.lankford.senate.gov,599,2,0.33,0,96.11,3.89
L000174,N00009918,Patrick,Leahy,1940-03-31,M,D,VT,43,,https://www.leahy.senate.gov,599,17,2.84,1,95.48,4.52
L000577,N00031696,Mike,Lee,1971-06-04,M,R,UT,7,,https://www.lee.senate.gov/public,599,10,1.67,0,84.08,15.92
M001183,N00032838,Joe,Manchin,1947-08-24,M,D,WV,9,,https://www.manchin.senate.gov,599,5,0.83,0,73.85,26.15
M000133,N00000270,Edward,Markey,1946-07-11,M,D,MA,5,,https://www.markey.senate.gov,599,3,0.5,1,86.54,13.46
M000303,N00006424,John,McCain,1936-08-29,M,R,AZ,31,,https://www.mccain.senate.gov,518,236,45.56,0,92.53,7.47
M001170,N00027694,Claire,McCaskill,1953-07-24,F,D,MO,11,,https://www.mccaskill.senate.gov,599,17,2.84,1,84.99,15.01
M000355,N00003389,Mitch,McConnell,1942-02-20,M,R,KY,33,Majority Leader,https://www.mcconnell.senate.gov,599,0,0.0,1,98.65,1.35
M000639,N00000699,Robert,Menendez,1954-01-01,M,D,NJ,12,,https://www.menendez.senate.gov,599,84,14.02,1,92.91,7.09
M001176,N00029303,Jeff,Merkley,1956-10-24,M,D,OR,9,,https://www.merkley.senate.gov,599,10,1.67,1,85.34,14.66
M000934,N00005282,Jerry,Moran,1954-05-29,M,R,KS,7,,https://www.moran.senate.gov,599,26,4.34,0,95.6,4.4
M001153,N00026050,Lisa,Murkowski,1957-05-22,F,R,AK,17,,https://www.murkowski.senate.gov,599,18,3.01,1,92.88,7.12
M001169,N00027566,Christopher,Murphy,1973-08-03,M,D,CT,5,,https://www.murphy.senate.gov,599,3,0.5,1,95.57,4.43
M001111,N00007876,Patty,Murray,1950-10-11,F,D,WA,25,Assistant Leader,https://www.murray.senate.gov/public,599,16,2.67,1,96.86,3.14
N000032,N00009926,Bill,Nelson,1942-09-29,M,D,FL,17,,https://www.billnelson.senate.gov,599,38,6.34,1,89.31,10.69
P000603,N00030836,Rand,Paul,1963-01-07,M,R,KY,7,,https://www.paul.senate.gov,599,21,3.51,0,80.28,19.72
P000612,N00035516,David,Perdue,1949-12-10,M,R,GA,3,,https://www.perdue.senate.gov,599,7,1.17,1,97.62,2.39
P000595,N00029277,Gary,Peters,1958-12-01,M,D,MI,3,,https://www.peters.senate.gov,599,5,0.83,1,92.14,7.86
P000449,N00003682,Rob,Portman,1955-12-19,M,R,OH,7,,https://www.portman.senate.gov,599,4,0.67,0,98.31,1.69
R000122,N00000362,Jack,Reed,1949-11-12,M,D,RI,21,,https://www.reed.senate.gov,599,0,0.0,1,94.92,5.08
R000584,N00029441,Jim,Risch,1943-05-03,M,R,ID,9,,https://www.risch.senate.gov,599,5,0.83,0,95.76,4.24
R000307,N00005285,Pat,Roberts,1936-04-20,M,R,KS,21,,https://www.roberts.senate.gov,599,7,1.17,0,98.47,1.53
R000605,N00035187,Mike,Rounds,1954-10-24,M,R,SD,3,,https://www.rounds.senate.gov,599,9,1.5,0,98.29,1.71
R000595,N00030612,Marco,Rubio,1971-05-28,M,R,FL,7,,https://www.rubio.senate.gov,599,35,5.84,0,97.14,2.86
S000033,N00000528,Bernard,Sanders,1941-09-08,M,ID,VT,11,,https://www.sanders.senate.gov,599,15,2.5,1,80.9,19.1
S001197,N00035544,Ben,Sasse,1972-02-22,M,R,NE,3,,https://www.sasse.senate.gov/public,599,6,1.0,0,94.9,5.1
S001194,N00028138,Brian,Schatz,1972-10-20,M,D,HI,5,,https://www.schatz.senate.gov,599,12,2.0,1,92.39,7.61
S000148,N00001093,Charles,Schumer,1950-11-23,M,D,NY,19,Minority Leader,https://www.schumer.senate.gov,599,1,0.17,1,95.25,4.75
S001184,N00031782,Tim,Scott,1965-09-19,M,R,SC,5,,https://www.scott.senate.gov,599,5,0.83,0,98.3,1.7
S001141,N00003062,Jeff,Sessions,1946-12-24,M,R,AL,21,,http://www.sessions.senate.gov/public,60,39,65.0,2,90.48,9.52
S001181,N00024790,Jeanne,Shaheen,1947-01-28,F,D,NH,9,,https://www.shaheen.senate.gov,599,18,3.01,1,93.01,6.99
S000320,N00009920,Richard,Shelby,1934-05-06,M,R,AL,31,,https://www.shelby.senate.gov,599,5,0.83,0,97.79,2.21
S001203,N00042353,Tina,Smith,1958-03-04,F,D,MN,1,,https://www.smith.senate.gov,274,0,0.0,0,98.13,1.87
S000770,N00004118,Debbie,Stabenow,1950-04-29,F,D,MI,17,Policy Committee Chair,https://www.stabenow.senate.gov,599,5,0.83,1,92.48,7.52
S001202,N00040607,Luther,Strange,1953-03-01,M,R,AL,1,,https://www.strange.senate.gov/,265,9,3.4,0,97.25,2.75
S001198,N00035774,Dan,Sullivan,1964-11-13,M,R,AK,3,,https://www.sullivan.senate.gov,599,20,3.34,0,97.74,2.26
T000464,N00027605,Jon,Tester,1956-08-21,M,D,MT,11,,https://www.tester.senate.gov,599,6,1.0,0,88.53,11.47
T000250,N00004572,John,Thune,1961-01-07,M,R,SD,13,Conference Chair,https://www.thune.senate.gov,599,0,0.0,0,99.33,0.67
T000476,N00035492,Thom,Tillis,1960-08-30,M,R,NC,3,,https://www.tillis.senate.gov,599,33,5.51,0,99.11,0.89
T000461,N00001489,Patrick,Toomey,1961-11-17,M,R,PA,7,,https://www.toomey.senate.gov,599,28,4.67,0,94.0,6.0
U000039,N00006561,Tom,Udall,1948-05-18,M,D,NM,10,,https://www.tomudall.senate.gov,599,6,1.0,1,94.01,5.99
V000128,N00013820,Chris,Van Hollen,1959-01-10,M,D,MD,1,,https://www.vanhollen.senate.gov,599,4,0.67,1,96.08,3.92
W000805,N00002097,Mark,Warner,1954-12-15,M,D,VA,9,,https://www.warner.senate.gov,599,9,1.5,1,89.33,10.67
W000817,N00033492,Elizabeth,Warren,1949-06-22,F,D,MA,5,,https://www.warren.senate.gov,599,0,0.0,1,83.22,16.78
W000802,N00027533,Sheldon,Whitehouse,1955-10-20,M,D,RI,11,,https://www.whitehouse.senate.gov,599,4,0.67,1,95.56,4.44
W000437,N00003280,Roger,Wicker,1951-07-05,M,R,MS,11,,https://www.wicker.senate.gov,599,2,0.33,0,98.48,1.52
W000779,N00007724,Ron,Wyden,1949-05-03,M,D,OR,22,,https://www.wyden.senate.gov,599,2,0.33,2,88.61,11.39
Y000064,N00030670,Todd,Young,1972-08-24,M,R,IN,1,,https://www.young.senate.gov,599,4,0.67,0,97.8,2.2
A000374,N00036633,Ralph,Abraham,1954-09-16,M,R,LA,4,,https://abraham.house.gov,1211,18,1.49,0,97.56,2.44
A000370,N00035451,Alma,Adams,1946-05-27,F,D,NC,6,,https://adams.house.gov,1211,32,2.64,2,98.52,1.48
A000055,N00003028,Robert,Aderholt,1965-07-22,M,R,AL,22,,https://aderholt.house.gov,1211,50,4.13,0,97.58,2.42
A000371,N00033997,Pete,Aguilar,1979-06-19,M,D,CA,4,,https://aguilar.house.gov,1211,14,1.16,2,95.19,4.81
A000372,N00033720,Rick,Allen,1951-11-07,M,R,GA,4,,https://allen.house.gov,1211,16,1.32,0,98.57,1.43
A000367,N00031938,Justin,Amash,1980-04-18,M,R,MI,8,,https://amash.house.gov,1211,1,0.08,2,66.2,33.8
A000369,N00031177,Mark,Amodei,1958-06-12,M,R,NV,8,,https://amodei.house.gov,1211,36,2.97,2,96.41,3.59
A000375,N00038285,Jodey,Arrington,1972-03-09,M,R,TX,2,,https://arrington.house.gov,1211,32,2.64,0,99.23,0.77
B001291,N00005736,Brian,Babin,1948-03-23,M,R,TX,4,,https://babin.house.gov,1211,20,1.65,0,96.29,3.71
B001298,N00037049,Don,Bacon,1963-08-16,M,R,NE,2,,https://bacon.house.gov,1211,1,0.08,0,96.84,3.16
B001306,N00042194,Troy,Balderson,1962-01-16,M,R,OH,2,,https://balderson.house.gov/,116,1,0.86,0,100.0,0.0
B001299,N00037185,Jim,Banks,1979-07-16,M,R,IN,2,,https://banks.house.gov,1211,5,0.41,0,97.42,2.58
B001269,N00025495,Lou,Barletta,1956-01-28,M,R,PA,8,,https://barletta.house.gov,1211,139,11.48,0,95.87,4.13
B001282,N00031233,Andy,Barr,1973-07-24,M,R,KY,6,,https://barr.house.gov,1211,22,1.82,0,97.21,2.79
B001300,N00037019,Nanette,Barragán,1976-09-15,F,D,CA,2,,https://barragan.house.gov,1211,31,2.56,2,97.22,2.79
B000213,N00005656,Joe,Barton,1949-09-15,M,R,TX,34,,https://joebarton.house.gov,1211,56,4.62,0,96.52,3.48
B001270,N00031877,Karen,Bass,1953-10-03,F,D,CA,8,,https://bass.house.gov,1211,104,8.59,0,96.19,3.81
B001281,N00033904,Joyce,Beatty,1950-03-12,F,D,OH,6,,https://beatty.house.gov,1211,68,5.62,2,97.22,2.78
B000287,N00009774,Xavier,Becerra,1958-01-26,M,D,CA,26,,http://becerra.house.gov,61,42,68.85,0,100.0,0.0
B001287,N00030717,Ami,Bera,1965-03-02,M,D,CA,6,,https://bera.house.gov,1211,1,0.08,0,93.3,6.7
B001301,N00039533,Jack,Bergman,1947-02-02,M,R,MI,2,,https://bergman.house.gov,1211,12,0.99,0,94.13,5.87
B001292,N00036018,Donald,Beyer,1950-06-20,M,D,VA,4,,https://beyer.house.gov,1211,58,4.79,1,96.62,3.38
B001302,N00039293,Andy,Biggs,1958-11-07,M,R,AZ,2,,https://biggs.house.gov,1211,4,0.33,0,85.35,14.65
B001257,N00027462,Gus,Bilirakis,1963-02-08,M,R,FL,14,,https://bilirakis.house.gov,1211,53,4.38,0,98.52,1.48
B001293,N00036449,Mike,Bishop,1967-03-18,M,R,MI,4,,https://mikebishop.house.gov,1211,54,4.46,0,95.48,4.52
B001250,N00025292,Rob,Bishop,1951-07-13,M,R,UT,16,,https://robbishop.house.gov,1211,33,2.73,0,97.44,2.56
B000490,N00002674,Sanford,Bishop,1947-02-04,M,D,GA,26,,https://bishop.house.gov,1211,46,3.8,1,93.4,6.6
B001273,N00031539,Diane,Black,1951-01-16,F,R,TN,8,,https://black.house.gov,1211,320,26.42,0,98.31,1.69
B001243,N00003105,Marsha,Blackburn,1952-06-06,F,R,TN,16,,https://www.blackburn.senate.gov,1211,196,16.19,0,96.45,3.55
B001294,N00033744,Rod,Blum,1955-04-26,M,R,IA,4,,https://blum.house.gov,1211,67,5.53,2,90.33,9.67
B000574,N00007727,Earl,Blumenauer,1948-08-16,M,D,OR,24,,https://blumenauer.house.gov,1211,73,6.03,2,94.86,5.14
B001303,N00038414,Lisa,Blunt Rochester,1962-02-10,F,D,DE,2,,https://bluntrochester.house.gov,1211,19,1.57,2,97.68,2.32
B001278,N00033474,Suzanne,Bonamici,1954-10-14,F,D,OR,8,,https://bonamici.house.gov,1211,7,0.58,2,95.91,4.09
B001245,N00024866,Madeleine,Bordallo,1933-05-31,F,D,GU,16,,https://bordallo.house.gov,0,,,,,
B001295,N00035420,Mike,Bost,1960-12-30,M,R,IL,4,,https://bost.house.gov,1211,7,0.58,0,93.41,6.59
B001296,N00035307,Brendan,Boyle,1977-02-06,M,D,PA,4,,https://boyle.house.gov,1211,71,5.86,2,96.76,3.24
B000755,N00005883,Kevin,Brady,1955-04-11,M,R,TX,22,,https://kevinbrady.house.gov,1211,52,4.29,0,98.53,1.47
B001227,N00001619,Robert,Brady,1945-04-07,M,D,PA,22,,https://brady.house.gov,1211,92,7.6,1,97.35,2.65
B001290,N00036013,David,Brat,1964-07-27,M,R,VA,6,,https://brat.house.gov,1211,22,1.82,0,95.35,4.65
B001283,N00033532,Jim,Bridenstine,1975-06-15,M,R,OK,6,,https://bridenstine.house.gov,858,328,38.23,0,97.53,2.47
B001284,N00033495,Susan,Brooks,1960-08-25,F,R,IN,6,,https://susanwbrooks.house.gov,1211,15,1.24,0,97.56,2.44
B001274,N00030910,Mo,Brooks,1954-04-29,M,R,AL,8,,https://brooks.house.gov,1211,76,6.28,0,90.79,9.21
B001304,N00036999,Anthony,Brown,1961-11-21,M,D,MD,2,,https://anthonybrown.house.gov,1211,53,4.38,0,97.25,2.75
B001285,N00034254,Julia,Brownley,1952-08-28,F,D,CA,6,,https://juliabrownley.house.gov,1211,29,2.39,2,96.44,3.56
B001260,N00027626,Vern,Buchanan,1951-05-08,M,R,FL,12,,https://buchanan.house.gov,1211,93,7.68,1,96.04,3.96
B001297,N00030829,Ken,Buck,1959-02-16,M,R,CO,4,,https://buck.house.gov,1211,30,2.48,0,91.16,8.84
B001275,N00031227,Larry,Bucshon,1962-05-31,M,R,IN,8,,https://bucshon.house.gov,1211,13,1.07,0,96.48,3.52
B001305,N00039551,Ted,Budd,1971-10-21,M,R,NC,2,,https://budd.house.gov,1211,7,0.58,0,96.16,3.84
B001248,N00025219,Michael,Burgess,1950-12-23,M,R,TX,16,,https://burgess.house.gov,1211,23,1.9,0,94.59,5.41
B001286,N00033390,Cheri,Bustos,1961-10-17,F,D,IL,6,,https://bustos.house.gov,1211,9,0.74,1,94.27,5.73
B001251,N00027035,G.,Butterfield,1947-04-27,M,D,NC,16,,https://butterfield.house.gov,1211,85,7.02,2,97.36,2.64
B001289,N00035380,Bradley,Byrne,1955-02-16,M,R,AL,6,,https://byrne.house.gov,1211,8,0.66,0,98.41,1.59
C000059,N00007099,Ken,Calvert,1953-06-08,M,R,CA,26,,https://calvert.house.gov,1211,12,0.99,0,97.82,2.18
C001037,N00000267,Michael,Capuano,1952-01-09,M,D,MA,20,,http://capuano.house.gov,1211,81,6.69,2,96.45,3.55
C001112,N00037015,Salud,Carbajal,1964-11-18,M,D,CA,2,,https://carbajal.house.gov,1211,29,2.39,1,95.31,4.69
C001097,N00033373,Tony,Cárdenas,1963-03-31,M,D,CA,6,,https://cardenas.house.gov,1211,81,6.69,1,97.0,3.0
C001072,N00029513,André,Carson,1974-10-16,M,D,IN,12,,https://carson.house.gov,1211,33,2.73,1,96.52,3.48
C001051,N00025095,John,Carter,1941-11-06,M,R,TX,16,,https://carter.house.gov,1211,39,3.22,0,97.86,2.14
C001103,N00035346,Buddy,Carter,1957-09-06,M,R,GA,4,,https://buddycarter.house.gov,1211,27,2.23,0,95.25,4.75
C001090,N00034128,Matt,Cartwright,1961-05-01,M,D,PA,6,,https://cartwright.house.gov,1211,12,0.99,0,96.4,3.6
C001066,N00027514,Kathy,Castor,1966-08-20,F,D,FL,12,,https://castor.house.gov,1211,43,3.55,0,97.45,2.55
C001091,N00033316,Joaquín,Castro,1974-09-16,M,D,TX,6,,https://castro.house.gov,1211,12,0.99,2,96.57,3.43
C000266,N00003689,Steven,Chabot,1953-01-22,M,R,OH,8,,https://chabot.house.gov,1211,3,0.25,0,98.17,1.83
C001076,N00028958,Jason,Chaffetz,1967-03-26,M,R,UT,10,,http://clerk.house.gov/member_info/vacancies_pr.aspx?pr=house&amp;vid=111,345,45,13.04,0,98.99,1.01
C001109,N00035504,Liz,Cheney,1966-07-28,F,R,WY,2,,https://cheney.house.gov,1211,53,4.38,0,96.79,3.21
C001080,N00030600,Judy,Chu,1953-07-07,F,D,CA,12,,https://chu.house.gov,1211,27,2.23,2,96.19,3.81
C001084,N00032019,David,Cicilline,1961-07-15,M,D,RI,8,,https://cicilline.house.gov,1211,23,1.9,1,97.66,2.34
C001101,N00035278,Katherine,Clark,1963-07-17,F,D,MA,6,,https://katherineclark.house.gov,1211,31,2.56,2,97.65,2.35
C001067,N00026961,Yvette,Clarke,1964-11-21,F,D,NY,12,,https://clarke.house.gov,1211,33,2.73,0,96.17,3.83
C001049,N00012460,William,Clay,1956-07-27,M,D,MO,18,,https://lacyclay.house.gov,1211,59,4.87,1,96.53,3.47
C001061,N00026790,Emanuel,Cleaver,1944-10-26,M,D,MO,14,,https://cleaver.house.gov,1211,107,8.84,5,97.48,2.52
C001115,N00041882,Michael,Cloud,1975-05-13,M,R,TX,2,,https://cloud.house.gov/,186,0,0.0,0,95.68,4.32
C000537,N00002408,James,Clyburn,1940-07-21,M,D,SC,26,Assistant Leader,https://clyburn.house.gov,1211,92,7.6,1,98.07,1.93
C001077,N00024753,Mike,Coffman,1955-03-19,M,R,CO,10,,https://coffman.house.gov,1211,9,0.74,0,92.89,7.11
C001068,N00003225,Steve,Cohen,1949-05-24,M,D,TN,12,,https://cohen.house.gov,1211,7,0.58,3,96.25,3.75
C001053,N00025726,Tom,Cole,1949-04-28,M,R,OK,16,,https://cole.house.gov,1211,25,2.06,0,96.27,3.73
C001092,N00001285,Chris,Collins,1950-05-20,M,R,NY,6,,https://chriscollins.house.gov,1211,42,3.47,0,97.51,2.49
C001093,N00033518,Doug,Collins,1966-08-16,M,R,GA,6,,https://dougcollins.house.gov,1211,44,3.63,0,96.73,3.27
C001108,N00038260,James,Comer,1972-08-19,M,R,KY,4,,https://comer.house.gov,1211,7,0.58,0,95.41,4.59
C001105,N00036023,Barbara,Comstock,1959-06-30,F,R,VA,4,,https://comstock.house.gov,1211,79,6.52,0,95.56,4.44
C001062,N00026041,K.,Conaway,1948-06-11,M,R,TX,14,,https://conaway.house.gov,1211,2,0.17,0,95.26,4.74
C001078,N00029891,Gerald,Connolly,1950-03-30,M,D,VA,10,,https://connolly.house.gov,1211,10,0.83,2,96.75,3.25
C000714,N00004029,John,Conyers,1929-05-16,M,D,MI,54,,https://conyers.house.gov/,658,34,5.17,0,96.41,3.59
C001094,N00034224,Paul,Cook,1943-03-03,M,R,CA,6,,https://cook.house.gov,1211,2,0.17,0,96.51,3.49
C000754,N00003132,Jim,Cooper,1954-06-19,M,D,TN,16,,https://cooper.house.gov,1211,6,0.5,1,89.68,10.32
C001110,N00037260,J.,Correa,1958-01-24,M,D,CA,2,,https://correa.house.gov,1211,6,0.5,0,91.32,8.68
C001059,N00026341,Jim,Costa,1952-04-13,M,D,CA,14,,https://costa.house.gov,1211,179,14.78,0,84.92,15.08
C001106,N00031064,Ryan,Costello,1976-09-07,M,R,PA,4,,https://costello.house.gov,1211,49,4.05,1,87.72,12.28
C001069,N00024842,Joe,Courtney,1953-04-06,M,D,CT,12,,https://courtney.house.gov,1211,17,1.4,1,96.99,3.01
C001096,N00004614,Kevin,Cramer,1961-01-21,M,R,ND,6,,https://www.cramer.senate.gov,1211,91,7.51,0,97.94,2.06
C001087,N00030770,Rick,Crawford,1966-01-22,M,R,AR,8,,https://crawford.house.gov,1211,46,3.8,0,98.53,1.47
C001111,N00002942,Charlie,Crist,1956-07-24,M,D,FL,2,,https://crist.house.gov,1211,53,4.38,0,93.17,6.83
C001038,N00001127,Joseph,Crowley,1962-03-16,M,D,NY,20,Caucus Chair,https://crowley.house.gov,1211,117,9.66,0,98.03,1.97
C001063,N00024978,Henry,Cuellar,1955-09-19,M,D,TX,14,,https://cuellar.house.gov,1211,19,1.57,0,82.69,17.31
C001048,N00009738,John,Culberson,1956-08-24,M,R,TX,18,,https://culberson.house.gov,1211,31,2.56,0,98.13,1.87
C000984,N00001971,Elijah,Cummings,1951-01-18,M,D,MD,24,,https://cummings.house.gov,1211,402,33.2,1,97.47,2.53
C001107,N00035403,Carlos,Curbelo,1980-03-01,M,R,FL,4,,https://curbelo.house.gov,1211,90,7.43,0,87.63,12.37
C001114,N00041221,John,Curtis,1960-05-10,M,R,UT,2,,https://curtis.house.gov,587,10,1.7,0,98.08,1.92
D000626,N00038767,Warren,Davidson,1970-03-01,M,R,OH,4,,https://davidson.house.gov,1211,11,0.91,0,94.39,5.61
D000096,N00004884,Danny,Davis,1941-09-06,M,D,IL,22,,https://davis.house.gov,1211,170,14.04,0,96.66,3.34
D000619,N00034784,Rodney,Davis,1970-01-05,M,R,IL,6,,https://rodneydavis.house.gov,1211,44,3.63,0,94.23,5.77
